 title , comment , username , date  , rating 
"""Water under the Bridge""","Overall this property if very nice and offers more than enough without having to search out onto other properties. Rooms were roomy and very nice. Except with the water issue a couple of evenings, the experience was very good.",Departure57887815531,May 2019,4.0
Perfekter Aufenthalt - perfect stay!!!,"Wir hatten ein Grand King mit Strip View gebucht und bekommen. Am Anfang ein wenig verwirrend wohin man mit seinem Mietwagen als Hotelgast reinfahren muss, wenn man Selfparking macht und noch nicht eingecheckt hat. Alles aber kein Problem, man zieht ein Ticket, sucht sich einen…",Travel_Alex_2828,April 2019,5.0
Not Impressed with MGM Grand,"There was a hole in the bathroom ceiling in my room, the tv wasn’t working, housekeeping came once to make my bed and clean up, the room service cart I ordered stayed outside my room throughout my entire stay and became a dumping ground for other guests’ garbage. So…",sandycaetano,May 2019,1.0
MGM Grand,"Saturday as we arrived at the pool we were informed they were closed for a special Arbonne event that evening but closed all day while setting up. The event hosted 18,000 people and when ever they ate or had meetings there were logjams everywhere. Room service said it would be…",Happiness04996495680,May 2019,1.0
Good vibes,"I stayed at the MGM for the first time on this trip, and would recommend it! Check in was easy, and quick - with a detailed map to get to our room which was needed as the hotel is so big. The rooms were nice, not massive - we had a double room - but it had everything you'd need…",MeganLouise2017,May 2019,5.0
Room was a disaster,"The room was a huge disappointment, the bathroom has no counter top, both night stands were not worthy of a garage sale. Both had chipped and broken edges and corners. The shower leaked into the toilet area and the only elevator to that portion of the tower / wing required a…",Explorer02005214546,May 2019,1.0
We’ll be back,"The MGM is a great hotel. If they’d stop the smoking in the casino, it’d be pretty much perfect. The staff were great to deal with, and our room was cleaned perfectly every day. Taxis were accessed easily. It was a superb stay.",Roving29682599105,May 2019,4.0
Quick getaway,The property is not too big but very crowded at all times. The rooms are average and clean. You walls are very thin and you can hear all the noise in the hallway. The lights on the building are very bright at night.,LoveTravel248402,May 2019,3.0
Birthdays in Vegas,"We had a great trip to Vegas! The room at the MGM was very nice. We had decent luck gambling too. The room was clean and spacious, with a very nice view from the grand tower. Plenty of options to shop, eat, and gamble! If you are looking for a plaice to stay, go to the MGM. …",Compass10448994579,May 2019,5.0
Lacking class,This hotel is really declining and will not be our choice when we return to Las Vegas. Used to be a really nice facility. Terrible customer service. Inconsistent with cleanliness. Unfriendly staff and no one will go out of their way. You're a bother to them when you stay.,rlastrom,May 2019,1.0
MGM never disappoints,"My wife and I have stayed here multiple times and love it. We love the rooms, pool, casino, and bars. It's easy to get around from this hotel. We will always stay here. The rates are always reasonable.",Happiness64012113302,May 2019,5.0
Great hotel with minimal customer service,"Beautiful hotel with great casino games. Great location close to everything. Self check in line is short but expect no help from service agents. Full service check in line is super long, about 30 minutes or more.",651mingj,May 2019,5.0
Wonderful first time stay in Las Vegas,We loved the MGM Grand. I will definitely come and stay again. The rooms were clean and comfortable. The food in the hotel was great. Everything that you would ever need is located in the hotel. We will be back.,Adriana P,May 2019,5.0
Stay here. It’s great.,Overall very happy with friendly and attentive staff. Really nice spa. Clean rooms. Great restaurant choices. I highly recommend the mushrooms and peppers at Wolfgang Puck’s Restaurant; they were delicious.,Nomad32948051241,May 2019,5.0
Stag Do - first time in Vegas,"I’ve never been to Vegas before and so was unsure what to expect, I’ve given this a 4 star rather than 5 on only a couple of factors: 1. Check in - this seemed to take ages, we were in a queue for probably about an hour or so, and to me it would have helped to have more people…",johnyboy1807,May 2019,4.0
Massive hotel,"After reading lots of reviews, decided on staying here with 4 other friends. The hotel is huge, it does take a while to figure out how to get around this hotel. The check in waiting time wasn’t too bad, waited around 45mins, I had read it could be a lot longer. We had 3…",TITUS F,May 2019,4.0
Room was not Cleaned,We left for the day returned at 6:00 PM and the room was never touched I called they sent someone up. We waited in the hallway while they cleaned the room. They left we found that they did not leave any towels or TP. They returned later with both. Very nice…,McGill60,May 2019,3.0
Worst Stay In Vegas,"Personally for me this was the worst hotel I have stayed in over the last fifteen years to travel to this city. It is old and the casino floors are filthy and smokey. It was a real disappointing stay for me. Check out staff were grumpy and unhelpful, concierge were only…",BlueAnto,January 2019,1.0
Excellent Hotel,Just back from 6 night stayed in Stay Well Room 16th Floor.Room was nice and cleaned every day.All staff were friendly and helpful.Covenient for all attractions.Transport options are very good.Monorail for short trips.Uber onsite pick up.The Deuce for both North and South strip…,LWSJL01,May 2019,5.0
Outdated Rooms,The West wing rooms were extremely poor and outdated. The rooms had no clocks and were small. Our room had views of the side of a wall. The decor was from the 70-80s and were run down. There was a big difference in quality from other rooms in the hotel.,AZHUNTREDS,May 2019,2.0
Mgm grand,The hotel rooms are old and furniture is old. Shower feels dirty with the cement floor. Buffet food is average at best.The hotel staff doing the best they can and try to make your stay the best but the hotel and hotel rooms seem so old .,Happiness13771029349,May 2019,3.0
Dated hotel but well furnished Stay Well rooms,"Stayed at the MGM Grand for 4 nights during a conference and selected a King Stay Well room in the West Wing. While one of the newer rooms with tons of bells and whistles (air purifier, aromatherapy, dawn simulator alarm clock, and chlorine filtration in the shower, ""energizing""…",XtinaDunham,May 2019,3.0
RESORT FEE? RESORT FEE? FOR WHAT?,Room was nice but house keeping only sowed up 4 of the 6 nights we where there. You pay big bucks for day beds and chairs with umbrellas. If you want peace and quite do not visit the pools area. KIDS everywhere!,Ltimbogun,May 2019,3.0
Hotel has everything!,"We stopped in Vegas for a few days on the way home - we have been there before but I always wanted to stay at MGM. And I am glad I did. Room in the west wing had modern decor and was clean and functional (all you really need in a hotel room). Starbucks open around the clock,…",Tigerlily58,May 2019,5.0
Horrible rooms,The bathroom was flooded. None of the power outlets worked . Bathroom ceiling was stained and peeling . The lighting in the room was horrible as well . Housekeeping was called 3 times within an hour and no one showed up!,Stay16039016954,May 2019,2.0
Birthday treat,We had an amazing time at the MGM Grand in Las Vegas. The hotel is huge and very clean and tidy. It's very busy 24hrs a day. Theres plenty to do in the hotel but the main attraction is the casino. Again the casino is huge with lots of slots and card tables. The staff were very…,Jason H,May 2019,5.0
Like a drunk zoo in there,If you are forced to stay here make sure you get a stay well room. They have a separate check in. This casino is rowdy and full of drunks. Very little security. There is no order AT ALL. I know it's Vegas but it was too much. I dreaded getting in the elevator everyday with…,Extraordinary147626,May 2019,1.0
"Great Resort, But Buffet Sucked Bad for the $$",No other words necessary about the buffet. The title says it all. I’ll never step foot into it again! Disappointed doesn’t even describe to lack of quality and choices since only half of the buffet was set up and everything looked and tasted like leftovers.,Avis R,May 2019,4.0
Awesome property,"Excellent hotel , have stayed there many times. Pools are the best on the strip .The Lazy River is so much fun . The Buffet is amazing. Good location along the strip. If your there for the weather and Pools this is the place to be",al P,May 2019,5.0
An Amazing place to visit,"I took my better half to the Las Vegas MGM Grand for her 50th Birthday as a surprise gift from me. We had an amazing time. The place is huge. It is very clean and tidy and there are loads of things to do in the hotel. The casino is amazing, so big!!! We ate in a few places…",Jason and Maggie,May 2019,5.0
Dried human blood in bathroom shower from previous guest.,My recent stat at MGM Resort 5/16-5/17.During my shower this morning I noticed red spots on the shower wall. After further investigation I concluded it was dried blood. I immediately finished my shower and rang the front desk. They advised that they would send up the head of…,Flyer63315924861,May 2019,1.0
Bugs are Gross - Customer Service Non-Existent,"I just left this hotel where I was staying for business in a king with a view and without a doubt, I will never return. I stepped out of the shower and grabbed a towel and found (pictures attached) what looked to me like a bedbug moving around! Luckily I saw it before I used the…",mtleater83,May 2019,1.0
"Nice Hotel, Watch for Hidden Costs","This is a nice hotel for the most part, somewhat typical for Vegas. Be aware that it is a large hotel and some of the rooms require a long walk to get to. Also, be aware of the ""resort fee"" that they tack on every day - to the tune of about $40/day. This can add up quickly if…",SGMPhil60,April 2019,3.0
MGM grand stay was OK,"MGM grand stay was ok, the room was acceptable with the exception of the mold in the tub and the sink faucet is a low volume spray that is not great for shaving. We did not get our room cleaned on one of the days despite the fact that we were out most of the day.",W2888FDjudiths,May 2019,3.0
I'll never stay here again,"Paid $40 for early check in since my flight landed so early. It's almost noon and I went to get a status update and was told that the $40 guaranteed early check in ISN'T guaranteed and the front desk host so incredibly rude with the ""too bad"" attitude that we paid for something…",Kat Y,May 2019,1.0
8,Did get lost because its the hotel is massive. But the staff was super friendly. They were very helpful directing me in the right direction. Where are room was was a long stretch. So we defiantly got our work out.,Erika R,May 2019,4.0
Its a Ford that pretends to be a Mercedes,We booked this with no real knowledge of Las Vegas but we wanted a fun holiday and Vegas does deliver this on many levels . Problem is you need a lot of research because there are so many options. Now to the hotel. If you arrive at the wrong rime ( mid afternoon wed to sun) you…,Peter D,May 2019,3.0
Get what you pay for,My wife and I stayed here for our anniversary and were extremely disappointed. As soon as we walked into the room we were walking into the bathroom. The room was small and very dull. There was nothing special about it. The hotel itself is very beautiful but the rooms are whack.,Roving32986691349,May 2019,2.0
MGM Grand Hotel and Casino,"Love and enjoyed the experience that MGM Grand provided...Felt well rested after this trip and looking forward to future trips to MGM Grand. Love the service, housekeeping and casino.. Music not too loud, restroom very very clean..",josephiner541,May 2019,5.0
Great customer service,When you visit Vegas you expected to be catered to but MGM takes customer service to the next level. They upgraded us to a great room so we could all be together and made sure it was perfect. I had a question on my bill at check out and they ended up just comping it. Great…,Kristey M,May 2019,5.0
Awful resort,My room flooded and I was not notified. I came into my room at 1 am to towels on my floor and my personal belongings moved. I talked to the front desk twice about it and they refused to comp my stay. They did comp 1 day and resort fees but I feel that was not enough. I expected…,Odyssey01996723216,May 2019,1.0
Customer Service needs Help!!!,"Please do not call for reservations they do not have answers; well correct ones! Also do not call at all the front desk or guest relations since no one is helpful. They were not able to assist with even an apology, so forget the call back to help getting it resolved!",OnAir46385025800,May 2019,2.0
First Time Stay - Hotel is too big and expensive!,We stayed for the first time at MGM Grand West Wing and it was a big mistake. This part of the hotel is too far from the elevator and the room is small and old. The air conditioner was too noisy so we had to turn it off before we sleep. The property is too big for seniors…,Tenkid,May 2019,3.0
Beautiful rooms and casino,"Excellent rooms, we stayed at a Stay Well suite, super nice, great showers, bathroom, sitting area, bed, view. Very nice. And the casino is outstanding. Clean, fun. They could open a few more tables from time to time but it was very nice. Clean is the key, so many other…",beggers2,May 2019,5.0
I have a story to tell,"While I stay in lots of different Vegas hotels, I had not stayed at the MGM in awhile, and was looking forward to it. The Hecho restaurant was outstanding. The food service for the meeting I was attending. On the downside, the guest service was disappointing. All calls to…",Need4relaxation,May 2019,3.0
Nice Hotel,"The wait to check in was 40 minutes. The room was nice. However it felt like I had to walk a mile to get to my room. Than no coffee pot, no HBO but a giant resort fee. Will not be returning. If I was a gambler this may have worked out better,, but I am not.",Mark J,May 2019,3.0
First Time Stay - Multiple Time Visitor,"This was our first time actually staying at the MGM Property and have to say it was a very well run and smooth operation from check in to check out. From getting our bags check in with the bell hops, having them brought to our room and then getting them back when it was time to…",BlueCrew21,May 2019,4.0
Excellent experience!!,Definitely coming back to the MGM grand. It was an awesome vacation thanks to the quality and great value of this resort our staying was an awesome experience. From excellent dining to a large variety of retail outlets this was definitely the resort to be at.,Inspire24085778855,May 2019,5.0
MGM Grand Breakfast Buffet,We ate breakfast twice at the MGM Grand buffet while in Vegas last week. The omelettes are very good and all the dishes are labeled to show dishes whether are gluten free. They also provide gluten free bread to toast. Very tasty food. $18.99 early bird price from Mon to Thurs…,M N,May 2019,4.0
Short and enjoyable,"I was ready to face the long check-in line mentioned online, but we received an email for mobile checkin and another for mobile checkout, so there was never a line. The staff we did speak with were nice and helpful. The resort was clean and we had a great time relaxing in the…",NorthStar37859654634,May 2019,4.0
Horrible beds,The beds where awful my back hurt so bad after 3 nights i couldn't do anything my last day. I would not recommend to anyone. I'm suppose to be back july 24th-27th for bachelor party going to talk to buddy and change location,Companion02071361953,May 2019,1.0
Sucio,"El hotel huele demasiado mal, se nota sucio. Buffet caro para lo que ofrecen, bellagio más barato y millones de veces mejor. En la alberca todo mundo pone la toalla sobre los camastros y dentro de ella solo hay 5 personas. Lo bueno del hotel es el show Kha",Gonzalo D,May 2019,2.0
The Place To Stay IN Las Vegas- What Happens in Vegas- You Have To TELL Everyone.,"Had my wife and 4 children with me, youngest are 23 and twins, for Birthday celebration. Great Gambling, great service, great location and great service by staff! Third stay in Vegas, 1st at MGM Grand, will now not stay anywhere else. Made our trip wonderful and enjoying. No…",Armstronglc,May 2019,5.0
"Terrible, DO NOT RECOMMEND","The rooms are OK, but not worth the price. The cleaning staff is great. Overall the customer experience we received due to some of the management at the front desk was terrible. When we brought an incident at the hotel to them the brushed it off and clearly had no interest in…",Sightsee35362117446,May 2019,1.0
Great stay,"Nice hotel, great 3 days, friendly staff, very nice hotel rooms and pools. Emerils and Wolfgang Puck fantastic restaurants with outstanding service. Food was wonderful and we would definitely recommend",Journey06765683400,May 2019,5.0
Overpriced and terrible service,"This hotel is the worst. Rooms are old and gross. Outlets pulling out of the wall, hanging by a thread. The glass walled shower/toilet was falling apart, with the doors precariously held to the drywalled ceiling moving every time the door was shut. No separate bathroom. Staff…",Kirsten K,May 2019,1.0
Will not stay there again,"The service at the hotel was horrible. When checking in, 2 associates were helping and then one disappeared and the other decided to start talking with another associate so the check in line had come to a complete stop. There was no one left to check people in and the line…",Diane S,May 2019,1.0
My Grand Experience,I started At the Renaissance hotel and it was garbage compared to MGM GRAND. The pool was amazing the room was extremely clean. So the last night of our vacation we booked at th5 MGM GRAND. The restuarant where top notch.,Cruiser574132,May 2019,5.0
Complete dump of a room,"I don’t recommend staying here. My room was dumpy, dirty, and run down. This hotel is clearly only about gaining, and not lodging accommodations. Pros: - large hotel, lots of restaurants and shopping. - Starbucks - three separate locations one of which is 24 hours. - Monorail…",Ryan66224,May 2019,2.0
Hotel,Me and my mom went up here and just had a wonderful time together we rode a hummer limo and seen David Copperfield do his magic tricks and we gambled and we will never forget this vacation we had so much fun that we got silly,Robert M,October 2018,5.0
Vegas fun,Brought a group of 15 with me and stayed in the sky lofts at mgm. I’m a regular at mgm and always throw Vegas parties but the skyloft staff is top notch. They were very nice and cool about anything and everything and attended to our every need! I’ll be back for sure!,Road07237226567,May 2019,5.0
SKYLOFT and Skyline Terrace Suite - Sky’s the limit!!,"I travel to Las Vegas once a month and have been doing so since 2018. I only stay in the above mentioned rooms, so I must share that either suite will leave you breathless! The amenities with the SKYLOFT are over the top: luxury transportation, amazing pre-arrival conceiger (Lea…",Amy B,May 2019,5.0
MGM Rocks,"I cant say enough about MGM Grand, highly recommended to anyone.clean nice rooms, great food and plenty to choose from pools are excellent, wet republic really nice, but check rules before getting there",Relax28583848672,May 2019,5.0
Its old and on scale with the flamingo and excalibur,This property is old. Rooms show their age. My room had a cracked mirror in the bathroom. Could hear airport traffic although that was not terrible. For almost $300 a night I would expect way more. I will not go back.,Traveler10911909659,April 2019,1.0
Awesome place.,"Rooms are old and dirty. Carpets are old and nasty as well as the elevators. They need to re model Mgm grand. Hope next they should waive the resort . fee as well. Thank you for the accommodations, we are an MLife member and really helps a lot. We don’t have to pay the hotel…",Maps22079335879,May 2019,4.0
Major Disappointment,"What a terrible change this once fabulous property once held. It just seems nobody cares throughout the hotel, most thinking they are all close to being layed off from the hotel. Who wouldn’t be distressed under these conditions 🤔.",Happiness26291606101,May 2019,3.0
Terrible service,I recently stayed at the MGM Grand Hotel in Las Vegas. The customer Service was awful... even at the supervisory level... the rooms are way over priced for what you get... the shower flooded... plus it was filthy and moldy... was told that I was going to get a room credit...…,Deannatowns,May 2019,1.0
Not worth the money,The cost of staying here is not worth it. The rooms offer no amenities at all. Even a bottle of water will cost $15. Was not impressed by the room. No water pressure in shower. Hair dryer smelled like it was burning when you use it. No comfort at all for the price.,Companion00075764157,May 2019,2.0
The best pool(s) in Vegas,"MGM Grand is one of the classiest places you can stay on the strip. Although it's at the end, it's right across the street from New York New York and only a few steps away from the Monorail, which can take you anywhere you want to go. MGM has the best pools for every type of…",lkc_02,April 2019,5.0
Alright - for a complimentary stay.,10 min walk to the pool. Room was a little musty. Probably put us in the old wing since it was a complimentary stay. Could only change from 1 king to 2 queen for additional $$ - everywhere else I have stayed was accommodating.,cjmiller2018,May 2019,4.0
MGM very smokey but beds are comfortable,You have to walk through the casino to get to everything and it was so smokey and unpleasant. The hotel beds so comfy and restaurant staff friendly but the just getting anywhere required walking through the veil of smoke.,OnAir28934786931,May 2019,3.0
Overcrowded and understaffed.,"This review is for a weekend stay, May 11-12th. I’ll start with the positive: the rooms were nicely appointed, good size with comfortable bed for the price. There are real problems with overcrowding, which is not a bad place for MGM to find themselves in, but as a guest,…",Discover397213,May 2019,3.0
This was offered as a comp room for being a valued MLife member and I was very disappointed in the room.,I have stayed at MGM Detroit several times and the experience was great. Cannot say the same for Las Vegas as I was very disappointed with the room. It was not clean and the carpet was wet when we arrived in the room. The door would not latch without slamming it and the ice…,Climber14903031112,May 2019,3.0
HORRIBLE! WOULD NOT RECOMMEND TO ANYONE!,"Shower water was ICE COLD, even after running it for >10 min! The other guests in the corridor were EXTREMELY LOUD and UNRULY, which made sleeping difficult. Additionally, there was a NUDE MAN roaming the hallways attempting to accost other guests! Felt VERY UNSAFE!",Voyager16330867663,May 2019,1.0
Bad Waitress,Couldn't get waitress to bring me a drink not even water and some were rude when asked. There reason was this is not my area I'll send someone and no one came. But overall great stay for my first time at the MGM,shakey368,May 2019,5.0
Mediocre,The stay wasn’t my best experience. This was my second time at MGM and I would have to say this last one was by far the worst. Some staff members were very rude. I wish I remembered the names but it’s a bigger problem than just a few select employees.,Adventure37318485552,May 2019,3.0
Not impressive,"Stayed in the West Wing and was not impressed. We referred to it as The Dungeon. Dark, dirty, noisy, and needs maintenance. Most front desk staff were very rude and check-in lines were ridiculous! I was injured in the guest room and no one seemed to concerned. Then when trying…",Navigate13827615577,May 2019,3.0
"Decent hotel, but run down","I spent 3 nights as part of a conference, so it was 95% business. The room was fine, except 2 light switches needed to be replaced. Th switch in the bath did not work well and required jiggling. The sink had only hot water (a call to the desk got it fixed). The shower door…",DaveTexas70,May 2019,3.0
AMAZING EXPERIENCE,Amazing experience.....friendly staff.... The casino is large enough so it does not feel overcrowded. After a long drive we were greeted at the front desk by friendly staff member that helped us with an upgrade and some very helpful information about the Resort. The…,GrandTour46800427925,May 2019,5.0
Don’t stay in the west wing !,"We recently stayed at the MGM grand where I’ve stayed serveral times in the past but this time we got put in the west wing. The west wing is gross and dirty, we referred to it as the slums of the hotel. There was beetles running down the hallway on numerous accounts, dirty…",Foodiekelowna,May 2019,2.0
Vacation with Husband,Excellent stay at the MGM. My husband and I have stayed at several hotels on the strip and the MGM is by far the best so far. We had an amazing time at the Carrie Underwood concert and we absolutely loved the check in/out experience in the Staywell area. Can't wait to come back!,Discover41424300279,May 2019,5.0
Not very impressed!,"As mentioned earlier, The front desk did not fill my request for adjoining rooms that I had asked for when I had made my initial reservations. No options were given to me. Also the television was constantly losing a signal during our stay.",Explorer59046145357,May 2019,2.0
MGM Grand visit,"We really had a great trip this spring to MGM. We love the pool areas and the employees were very pleasant. The Tap Bar and Grill is also a great sports bar, with fantastic nacho's and burgers. It also seems that MGM comps are better than any of the other cards that we have.",Escape30908736734,May 2019,5.0
Hotel masivo,"El hotel es todo lo que se ve en la página web oficial. La ubicación es privilegiada, en el inicio del strip. Ideal para recorrer caminando. El hotel es un monstruo que te toma un rato largo recorrerlo entero. El check in es interminable ya que se generan largas colas en hora…",Silvana G,May 2019,4.0
Vacation / MGM Grand LasVegas,Being an Mlife member we were able to check in what they call the Wellness Room. Our waiting time to check in was ten minutes. It was a pleasant check in with smiles and a pleasant attitude. Upon entering the room it was clean and very satisfying. Maid service was friendly also…,Barbara B,April 2019,5.0
Was mostly Ok but a little disappointed,The room was nice. The check in line was a little slow moving. Navigating the hotel/casino was a little tricky at first. We also shopped and it was not until the 3rd day that someone mentioned we could have been saving $$ by presenting our sapphire players card. Also during our…,wanderer81321,May 2019,4.0
Would have giving a 5 if my experience with the room was better,"Would have giving a 5 if my experience with the room was better, the amenities are very expensive and you will have to pay for parking in the parking structure as well as valet parking a bottle of water is $6.00",Martha S,May 2019,4.0
First Visit to MGM,"Checking in was someone what if a hassle, and the security deposit threw me as I have always been able to take it off ... but this was my 1st stay at MGM. Staff was very helpful. I would most definitely stay here again",Jennifer K,May 2019,4.0
Great stay,It was our first time in las Vegas and the MGM. It was a great experience and had fun lots of things to do. Food in the MGM was great and the employees were very friendly did not have any bad in counter with anyone,Companion27807275329,May 2019,5.0
No winning slot machines,I’m disappointed about not having luck with any of the slot machines. Both me and my daughter didn’t have any luck at any time. We hoping to have a bit of winning slot machine to enjoy more playing next visit.,Michelle M,May 2019,5.0
Excellent stay!,Automated check-in was a breeze and allowed for early notification that our room was ready prior to usual check in time. Room was spacious and spotless. Staff was so friendly and prompt with any requests!,Scenic15114347000,May 2019,5.0
Excelente servicio!!!,"El hotel es muy saturado en cualquier época del año que lo he visitado, a pesar de eso el check in fue ágil, el servicio de valet parking muy eficiente aunque debería ser gratis, las habitaciones muy limpias, con suficiente espacio, el baño con una regadera espectacular, las…",Coastal63825350358,May 2019,5.0
The room was old and had a bad odor that smelled like mold. The bedroom flooded twice due to the bathroom.,This was a bad hotel for couples to stay at. The room was old and was a dangerous hazard since the tub kept flooding. The staff did not accommodate us or try to move us to a different room. They just said they were out of rooms,Climber16165177930,May 2019,1.0
Check in,Very disappointed in check in line we waited 40 min to get a room key because there were only a few people at front desk! Then when we wanted an hr later check out time you all charged us extra! Doesnt seem fare after you made us wait that long,Explorer11225019712,May 2019,3.0
Comfortable visit.,"I stayed at the MGM Grand for 2 nights. My room was comfortable, spacious, & clean. The housekeeping staff was great at keeping my room tidy & giving me extra bath soap. The only negative I experienced was a weak wifi signal at times; I realize this may be more of a…",SmittyJA24,May 2019,5.0
Could use some improvements,"The check in and out process was not up to good hotel/resort standards. Lines were very long and systems in place didn't function. There are no provisions for ""Invited Guests"" to have an expedited check in or out.",davidpV3531QI,May 2019,3.0
Food Is TERRIBLE,"I try to eat at the resorts I stay at. I gamble and eat at the same place. BIG MISTAKE at the MGM! First off, there were not enough table games....sure you could play table games on machines, but I like craps on a craps table. Also, what happened to $5 or $10 tables? Now on to…",Tour30779303226,May 2019,1.0
Must stay,Overall our stay was superb!!! The only negative was the mattresses are very hard and our room was too warm at times with the thermostat at its lowest setting. The front desk staff were consistently kind and attentive. The overall resort was exceptional and conveniently located.,Excursion36009173517,May 2019,4.0
Gloss Vegas,"They do things big in Vegas. This hotel is an example. Offering more than six thousand rooms, it`s a long walk towards one`s reserved space if one does not know the location of the elevator (there are several) nearest it. Check-in however is fast and efficient despite the long…",Adven-jude-rer,January 2019,5.0
Comfortable stay,"Excellent accommodations, very impressed with the helpful staff. Great variety of games and restaurants. Was a little disappointed with the price of food and drinks. Price for parking was extremely high.",Janet D,May 2019,5.0
MGM has lost it's touch,My son left three shirts in the closet when he left. The staff would not check for two days. Naturally they wre gone. Not helpful at all. Add to the fact a new elevator security system was in place and did not work properly. Sometimes your key card worked and other times it…,Randy S,May 2019,1.0
Not the mgm I remember.,We arrived on May 2 at 1030am we arrived at the front desk. Checked in and was told that we will have to wait till 8 pm for our room. Then we were told that we may not have a room for the night do to not being platinum members at the hotel. But not only that we booked our room…,FarAway50469993120,May 2019,2.0
Time to tear it down,"This hotel's glory days are long gone - dated styling, poor facilities and odd missteps in service (40 minute check in time? no shampoo? broken TV?) - no clock in room? leaky toilet? - not much better than a motel 6 in my view",Traveler14612953721,May 2019,2.0
Musty smoke smell,I was surprised at how musty the casino smelled. I wasn't too concerned about it until I got home and had to wash the smell out of my clothes which took a few cycles. Basic stuff like not replenishing towels and shampoo and not having coffee making in the room was kinda lame,Doug C,May 2019,3.0
Good location,"This casino is like most of the others on this strip. It’s busy and it’s full of nice bars, restaurants, good shows to go and see, massive slots areas and tables areas of all sorts of games to try your luck at.",Jezza_K9,May 2019,4.0
MGM es muy hermoso y increíble,¡Yo insisto que tú vayas al hotel de MGM en Las Vegas! Yo recomiendo que tú comas en los resturantes en MGM. Me siento triste que todas las cosas sean caras. No estoy seguro de que el hotel tenga descuentos. Es importante que tú traigas una tarjeta de credíto o debíto. Es…,MVHS Español 3,April 2019,5.0
MGM is our favorite,We love the property and convenient to get anywhere my a monorail The pools are exceptional and with the lazy river how can you go wrong. We totally recommend this property to anyone. That wants a fun Vegas experience,Steve B,May 2019,5.0
Another fun filled stay at the MGM Grand in Las Vegas . . .,"I've had the pleasure of staying at the MGM Grand several times, and have yet to be disappointed. Everything is phenomenal . . . the staff is always friendly, attentive and knowledgeable. The food is always great and the pool may be the best ones in Vegas!",mndieringer,May 2019,5.0
Old and raunchy,"The MGM has seen better days. So many better options in Vegas. I only stayed here because my company required it. The clientele is much to be desired - yikes! My room was not great and my colleagues complained theirs were even worse - small, old and smelly.",Kelley S,May 2019,1.0
MGM awesome hotel choice in Vegas,"Lots of restaurant, bars and shops. The casino has a nice variety of table games and the pool is to die for. Fun times for sure. Zach Moniet in VIP services really rolled out the red carpet for us. He made our stay exceptional.",Angela P,May 2019,5.0
What a dump,"Avoid at all cost. Filthy, nasty hotel. So many other good choices in Vegas. Restaurants lousy. Club over priced, dirty. Tv and phone don’t work in room water dripping from ceiling. Staff not helpful to resolve issues.",Craig E,May 2019,1.0
Just don't!!!!,There are way to many other nicer places to stay. Wayyy overpriced for the poor quality. If you want to dodge bugs running across the hallway carpet or dodge the remains of the ones that didn't make it then this is the place for you. Extremely disappointed in MGM!!,Flyer68025092269,May 2019,1.0
"Vegas, May 2019",We enjoyed our stay. The only issue was the buffet. My husband felt sick afterwards. Certainly not worth $70.00 for dinner. we would stay there again and maybe skip the buffet. we have had it in the past with no issues. Wouldn't try it again though.,Seaside65109531901,May 2019,4.0
Awesome!,"Great Hotel. Staff was on point with check in, room service, luggage, bars, restaurants, EVERYTHING! My room was extremely clean and comfortable. The club was amazing. Hotel has such a fun vibe and was a great time.",Excursion20206686161,May 2019,5.0
Not Impressed,First impression was a booty muma and her friend spewing in the trash can at the entrance of the lobby at 4pm in the afternoon. First of all my strip view room was a view of the buildings and couldn't even see the strip. Pretty disappointing when on the 27th floor (Room27101)…,Amanda S,April 2019,1.0
Great stay at MGM Grand,I stayed at MGM Grand recently and I will definitely stay there again if I return to Vegas. The hotel has such a presence on the strip and plays host to great events. We managed to see Tiesto play at MGM while we stayed there. The rooms were great and serviced well. Check in…,Atish,April 2019,5.0
birthday at mgm grand,had a great vacation 7 days at mgm grand. the hotel was clean. service was great. food was wonderful. overall had a great experience on my birthday. cant wait to go back. favorite hotel close to everything,658deb,January 2019,5.0
Disappointed,"Before arriving, I received an email with online check in options, however, it went into very odd questions, in my opinion asking too much info for a simple check-in. I opted not to finish, and decided to check in upon arrival. Upon arrival, after waiting way to long to check…",Machman,April 2019,3.0
My Stay at the MGM grand,I stayed in the West Wing. We got a cheap room. The hotel portion looked pretty run down. The elevators were dirty with spills or pukes. We did not play at the MGM casino. We enjoyed walking to New York New York and other places on the Strip.,Paul S,May 2019,2.0
VERY UNSATISFIED!!!,"HORRIBLE!!! There was construction going on outside our window so our original room was changed. We walked into the new room and it smelled like we walked into a bottle of bleach. We called to complain about the smell and they sprayed some air freshener on the carpet. Then,…",Wander56760730504,May 2019,1.0
Love MGM Grand,"My husband and I go to Vegas twice a year. We were married in Vegas 7 years ago, and stayed at the MGM. When we came to Vegas for our anniversary this year we thought we would try a different casino, and when we arrived we were very disappointed. I was in tears and my husband…",Mobile60071347412,May 2019,5.0
"Dirty room, broken air conditioner","I was excited to stay at MGM Grand. Upon arrival to our room, we were immediately disappointed with the quality of our room. The air-conditioning was broken and the room was dirty. I reported this to the front desk with the hopes of getting switched to a new room. The attendant…",Culture11344394554,May 2019,1.0
Stay at MGM Grand,"All staff had smiles on their faces and were extremely helpful. Slots seem to be not as tight as other resorts. (which is a plus). Food was great, rooms where awesome. Spa staff I would rate a 10 plus.",Tourist08861376054,May 2019,5.0
